name,@lat,@lon,type
Z Ma Self Service Gasoline,36.9792673,-121.9912244,fuel
Chevron,37.7130588,-121.7237447,fuel
Gas & Shop,37.711389,-121.7251667,fuel
,37.7174032,-121.7237294,fuel
SP,37.8753686,-122.2944486,fuel
Mobil,37.8682313,-122.2951245,fuel
Valero,37.5958635,-122.503307,fuel
Chevron,37.6139846,-122.4864181,fuel
Shell,37.4239289,-122.1959086,fuel
,37.6045821,-122.3792687,fuel
7-Eleven,37.6597649,-122.4775503,fuel
Chevron,38.560495,-121.7588959,fuel
Chevron,38.4094884,-121.405634,fuel
Shell,38.2342168,-122.645357,fuel
76,36.7919778,-121.6667053,fuel
Chevron,36.791454,-121.6684526,fuel
Shell,37.0427054,-122.025463,fuel
Shell,37.0430802,-122.0246677,fuel
Arco,38.7720282,-121.3134594,fuel
Speedway,39.7523218,-122.2084107,fuel
Shell,38.1150084,-121.394186,fuel
76,38.1139743,-121.3939446,fuel
76,37.8963852,-121.2813162,fuel
,37.854446,-121.2767677,fuel
Chevron,37.5403772,-121.2657681,fuel
Shell,37.293804,-121.9399171,fuel
Mobil,32.7981591,-117.24058,fuel
Mobil,34.0983921,-118.317663,fuel
Safeway,36.9794556,-121.9085613,fuel
Chevron,36.9798223,-121.9079824,fuel
Chevron,36.9893427,-121.936012,fuel
76,36.9754955,-121.912211,fuel
Mega Fuel,32.8322424,-117.163392,fuel
Chevron,32.8416212,-116.78043,fuel
Chevron,33.9929959,-117.056441,fuel
,33.993615,-117.0575829,fuel
Shell,33.9935429,-117.056928,fuel
Fastrip,34.0043308,-117.0626914,fuel
Shell,37.3739373,-121.873726,fuel
Shell,37.3695588,-121.843068,fuel
Chevron,37.3508882,-121.8263274,fuel
Arco,37.6690824,-121.858183,fuel
Arco,32.6608225,-117.0315412,fuel
,32.6718866,-117.0198475,fuel
Chevron,37.2552697,-121.897737,fuel
Stars & Stripes,32.8772278,-117.185999,fuel
Shell,34.0430344,-118.261042,fuel
Mash Gas and Food,37.8229953,-122.2075447,fuel
,39.7242352,-121.8317328,fuel
,39.7347461,-121.8223158,fuel
Shell,36.9350467,-121.772847,fuel
,36.9347665,-121.773991,fuel
76,36.9316142,-121.7698186,fuel
Chevron,37.259503,-122.032296,fuel
Shell,37.657929,-121.896487,fuel
Chevron,37.4314894,-122.201404,fuel
Alliance,34.1809404,-118.8756578,fuel
Arco,34.1868,-118.8745876,fuel
Shell,37.526043,-121.9854845,fuel
76,37.7362794,-122.240702,fuel
76,37.5270075,-122.006448,fuel
G&M Oil Company #75,34.1611268,-118.329908,fuel
Arco,37.297537,-121.950209,fuel
76,34.0791597,-118.1348,fuel
,38.0106491,-121.3208976,fuel
Scotts Valley Gas & Mart,37.043669,-122.0259645,fuel
Kensington Service Station,37.903173,-122.278244,fuel
Chevron,37.0628791,-122.0050538,fuel
Shell,37.0514394,-122.0691833,fuel
Mobil,34.1109548,-117.575048,fuel
Haven 76 Tire & Service Center,34.1375651,-117.5755392,fuel
Haven Mobil,34.1395942,-117.57639,fuel
76,40.8823701,-124.0915993,fuel
Arco,33.0683306,-117.2643781,fuel
Shell,33.0672432,-117.2646151,fuel
,36.5782687,-121.7276129,fuel
Casillas Brothers,36.6449384,-121.6643871,fuel
Chevron,36.7008518,-121.6666286,fuel
ARCO,36.7215741,-121.6643489,fuel
Chevron,37.6459113,-122.490924,fuel
,34.5991685,-120.1281314,fuel
Brown's Corner Fuel,39.3880889,-123.3451834,fuel
Chevron,39.6861691,-123.4803931,fuel
Chevron,37.0533022,-122.073603,fuel
Chevron,34.1509608,-118.0188739,fuel
,37.6483438,-118.9667338,fuel
Chevron,39.4305121,-123.8057927,fuel
,39.2020385,-121.170948,fuel
Shell,34.2212475,-118.367589,fuel
76,34.0159862,-118.158332,fuel
,34.1921426,-117.3610794,fuel
Arco,33.9894323,-118.063985,fuel
76,33.9917307,-118.067193,fuel
Quik Stop,37.0591495,-122.0096343,fuel
Chevron,33.9421503,-117.9885981,fuel
Shell,33.9388101,-117.932677,fuel
Patriot Gasoline,40.8050278,-124.1533504,fuel
76,34.0987791,-117.585258,fuel
Patriot Gasoline,40.9048413,-124.0835065,fuel
Circle K,38.5603687,-121.7859206,fuel
Shell,34.0358721,-118.038097,fuel
Mobil,34.0366255,-118.038132,fuel
Chevron,37.5329294,-122.0005615,fuel
Andoil,37.5369734,-121.9986802,fuel
Chevron,35.7077814,-118.455135,fuel
Arco,34.2237944,-117.4034603,fuel
Shell,34.2241177,-117.4028321,fuel
7-Eleven,34.1916076,-117.360445,fuel
Chevron,39.0243402,-122.0643224,fuel
Texaco,35.70836,-118.454754,fuel
Chevron,37.3606692,-121.9599259,fuel
,37.3618545,-121.96207,fuel
Arco,37.3559874,-121.9592038,fuel
,34.046303,-117.2025748,fuel
Speedway,37.7092081,-122.1709715,fuel
Shell,40.9343735,-124.101227,fuel
Gulf,34.0782779,-118.123268,fuel
Chevron,37.5437281,-122.0133697,fuel
Arco,34.0794905,-118.0999171,fuel
Mobil,34.0805516,-118.073481,fuel
76,34.0770355,-118.0468226,fuel
Chevron,34.1160006,-118.1527554,fuel
Arco,34.1160405,-118.1608601,fuel
76,34.0514289,-118.000031,fuel
Chevron,34.0514917,-117.999078,fuel
Shell,34.0348258,-117.97527,fuel
Chevron,33.824025,-118.218093,fuel
76,34.1118677,-118.1498499,fuel
Arco,34.0190321,-118.17046,fuel
,34.0444264,-118.1739212,fuel
,34.0599944,-118.1727227,fuel
ARCO,37.5233044,-122.273553,fuel
Shell,37.286698,-121.9321669,fuel
Shell,38.0025562,-121.838279,fuel
Chevron,37.9959059,-122.2853781,fuel
76,38.0216298,-122.262104,fuel
Circle K,34.1219656,-117.592998,fuel
Sam's Club,34.0741953,-117.5587626,fuel
Shell,34.0765628,-117.550721,fuel
Costco Gasoline,34.0776464,-117.5485293,fuel
Chevron,34.0767726,-117.545882,fuel
Ralphs Gas Station,34.169269,-118.131872,fuel
76,34.1574938,-118.132893,fuel
76,34.1497935,-118.121198,fuel
76,37.7643035,-122.407073,fuel
Shell,37.7647445,-122.407736,fuel
Arco,34.0354024,-118.284313,fuel
Shell,37.9946324,-121.78408,fuel
Arco,34.1069467,-117.548538,fuel
Chevron,34.1145924,-118.1809464,fuel
,32.621011,-117.071567,fuel
Shell,32.775004,-117.026958,fuel
CFO Gas,32.742952,-117.0432544,fuel
St. Clair Valero,32.551763,-117.039396,fuel
Go Gasoline,32.839026,-116.995368,fuel
Mobil,32.583582,-117.110955,fuel
,33.01925,-117.202291,fuel
Arco,33.1519427,-117.337913,fuel
76,32.8358307,-116.7654436,fuel
Mobil,32.9571173,-117.152421,fuel
Arco,33.1952912,-117.3537542,fuel
,32.62022,-117.072048,fuel
,32.6040784,-117.0912463,fuel
Arco,32.80805,-116.950586,fuel
Chevron,32.767724,-117.021432,fuel
,32.9957215,-117.258633,fuel
Shell,32.9175214,-117.1210219,fuel
Chevron,32.80266,-117.0110465,fuel
Chevron,32.979255,-117.250407,fuel
,32.937727,-117.11287,fuel
,32.7296726,-116.9614517,fuel
,32.8382878,-116.983376,fuel
Chevron Gas,32.781268,-117.033568,fuel
Top Fuel,32.60718,-117.066189,fuel
Chevron,32.7422368,-117.0425133,fuel
,32.640209,-117.099057,fuel
Mohsen Oil #1,33.213486,-117.347599,fuel
Arco,32.7925231,-117.0814254,fuel
7-Eleven,32.8131629,-116.9361624,fuel
,32.658108,-117.041508,fuel
USA Gasoline,32.7534255,-117.101179,fuel
,32.754676,-117.100501,fuel
